artists,year,song_id,popularity
"Lil Uzi Vert', 'NAV",2020,4D7NrSeqkTarBrJ80b2sBc,72
"Kygo', 'Zara Larsson', 'Tyga",2020,4dyrqiXUcK29hzrL2elqO3,72
"Thomas Rhett', 'Kane Brown', 'Ava Max",2020,4ejNoyrhgjrioqJbgTNPu3,72
"Jessie Reyez', 'Eminem",2020,4HqPiUgeE9z0MHLXkgUQkQ,72
"Jackson Wang",2020,4mQMvcRtQou5yI8mjuJ1lf,72
"Flume', 'Toro y Moi",2020,4nlvKIIetOWGIMyhjQXgOZ,72
"R3HAB', 'HRVY",2020,4ztw0mBC6VBiLV79yRHDQW,72
"Camilo', 'Pablo Alborán",2020,5EbtodsuLbxrFDH6j5avVS,72
KYLE,2020,5gC5GY6XzSzrzSByUpOBUc,72
"Sub Urban', 'REI AMI",2020,5jkbw3FDS3bSSb4oLKYbjf,72
"Agust D', 'Kim Jong Wan",2020,5qJF3xMbNjsPuqQDRkfUl1,72
"DaBaby', 'A Boogie Wit da Hoodie', 'London On Da Track",2020,5rFGVn8fCFjnRwCebW0XbS,72
"R3HAB', 'Andy Grammer",2020,5SspaMrPfWyRCS0GpjIxa6,72
"FLETCHER', 'Kito",2020,5Z0AM9HW78XIyZqF2BPasr,72
"Gracie Abrams",2020,1tF7RL54zjHSy0N2qEQLDY,72
"Olivia Rodrigo",2020,1v6svH1Fyx9C1nIt1mA2DT,72
"Kehlani', 'Jhené Aiko",2020,1YqXXJDSlDHrp66g9as4uo,72
"R3HAB', 'TINI', 'Reik",2020,25c15KvAiyM8DNmDoFqwzm,72
"Zion & Lennox",2020,2dSy7VwJsM9qEs5wAE9GJV,72
"Wiz Khalifa', 'Megan Thee Stallion', 'Mustard', 'Ty Dolla $ign",2020,34TAFsrcHSBvLxhXZMBRSF,72
"Los Dos Carnales",2020,3cExeifTyKQSMLLwG70wIo,72
"Future', 'Young Thug",2020,3cFHCXuBZKMJd8Q4Wt8RB3,72
"Dustin Lynch",2020,3NgcaTIgVh77DdwAInp996,72
"DVBBS', '24kGoldn', 'blackbear",2020,68UW3plyDDNg1dkNIZRezJ,72
"Don Toliver', 'Offset', 'Quavo",2020,6SPgp2qK3fb4wPX1SldrNf,72
6LACK,2020,6tfEKQWSonINLZgXEQ9aRK,72
"Ricky Martin', 'Farruko",2020,73HSOVmGMA0Qfo4ujlM1GF,72
"Kygo', 'Sandro Cavazza",2020,745bEQatiiXDtBe1AdQY2P,72
"Tory Lanez', 'Mansa",2020,7DHNcoR73yUYCSn6PqBgkH,72
"Lil Nas X', 'Nas",2020,7ikRId3U9AXd6tfF2fbItC,72
"Moneybagg Yo', 'Lil Baby",2020,7qeWNGBqqagdwf4KnjRzGZ,72
Elderbrook,2020,7rBpjxstrSsuOLqnuOC028,72
"SAYGRACE', 'Tate McRae', 'Audrey Mika",2020,7tMEUrMaMzE0YptCGfsXzt,72
"NAV', 'Don Toliver",2020,67LB1vZuG114LqRN8h8bQ2,71
"NAV', 'Pop Smoke",2020,6LUE5WlMgrpLouGxzJAUVv,71
"Cheat Codes",2020,6nnntyJFxLzaCmNnhHe3C1,71
"NAV', 'Gunna",2020,6NzuJWrNriXAbSmscAuSIq,71
"Anuel AA', 'Travis Barker",2020,6VN85VvNB8w1QbJCXW8rTC,71
IZ*ONE,2020,71vPAjlG1x606483GTJNhY,71
"Kygo', 'Zac Brown",2020,73h6Ma5QhBFrshEN2CTevS,71
"Doja Cat', 'Jax Jones",2020,7qrO2oI0A9DW6wQPjSADxx,71
"Gunna', 'Nechie",2020,3SGgeDQ3cAuNSFb03PjXtv,71
"Blueface', 'NLE Choppa",2020,3wapLdXDMiCZV9dWNg55Jh,71
LoveLeo,2020,3WmgMoWZ1E5yNyn2aUzWAr,71
"Ashley McBryde",2020,47qZzTLLJcuD69AIKnquo4,71
